time cpu-1-0 cpu-1-32 cpu-1-64 cpu-1-128 cpu-1-256 cpu-1-512 cpu-1-1024
223 0.22% 8.05% 30.35% 61.47% 99.23% 99.95% 101.04%
224 0.18% 9.30% 29.82% 59.29% 99.27% 100.32% 101.20%
225 0.50% 10.31% 28.64% 56.77% 99.44% 99.00% 103.08%
226 0.14% 13.76% 27.25% 54.80% 99.82% 100.53% 104.04%
227 0.16% 13.62% 27.46% 54.87% 99.42% 100.07% 103.45%
228 0.26% 12.74% 25.38% 51.29% 99.60% 99.28% 109.98%
229 0.12% 12.53% 26.69% 53.17% 97.11% 100.67% 110.42%
230 0.19% 12.03% 26.57% 53.09% 98.60% 99.39% 108.04%
231 0.17% 8.73% 19.73% 68.87% 85.67% 100.46% 116.55%
232 0.14% 12.52% 23.87% 68.23% 95.56% 100.11% 104.39%
233 1.01% 8.53% 31.12% 62.13% 90.48% 98.33% 100.85%
234 0.06% 13.01% 27.99% 56.36% 99.88% 99.98% 102.32%
235 0.13% 13.94% 27.38% 56.44% 99.81% 100.00% 102.07%
236 0.04% 13.41% 27.49% 53.35% 99.77% 100.00% 105.85%
237 0.06% 14.14% 27.21% 55.50% 99.89% 99.99% 103.25%
238 0.05% 13.69% 27.47% 54.95% 99.86% 100.60% 103.64%
239 0.09% 14.79% 28.37% 54.21% 97.39% 99.51% 103.91%
240 0.07% 13.30% 31.44% 54.16% 99.85% 100.16% 101.34%
241 0.06% 14.09% 27.41% 54.29% 99.89% 99.29% 102.66%
242 0.06% 9.70% 28.84% 52.46% 98.09% 100.60% 111.13%
243 0.06% 13.29% 26.78% 52.29% 100.35% 100.87% 107.12%
244 0.17% 13.49% 26.36% 54.19% 99.01% 98.89% 105.85%
245 0.06% 12.09% 26.96% 48.32% 99.92% 100.28% 111.76%
246 0.05% 13.61% 24.21% 53.88% 98.85% 99.81% 107.53%
247 0.09% 9.30% 25.82% 64.68% 89.86% 100.05% 109.14%
248 0.06% 12.05% 40.66% 48.96% 94.43% 99.97% 103.47%
249 0.06% 14.00% 28.27% 55.60% 99.25% 100.33% 101.95%
250 0.06% 13.62% 26.92% 55.32% 100.32% 99.53% 103.92%
251 0.07% 14.12% 28.10% 55.10% 99.74% 100.50% 102.66%
252 0.13% 13.41% 25.82% 51.55% 99.18% 99.57% 107.83%
253 0.06% 11.37% 28.82% 49.45% 98.56% 99.79% 110.49%
254 0.70% 13.40% 21.27% 71.41% 83.27% 99.72% 106.65%
255 0.05% 15.37% 24.60% 62.47% 91.87% 100.15% 105.67%
256 0.11% 14.20% 27.86% 55.40% 99.79% 99.92% 102.58%
257 0.07% 13.33% 27.49% 54.81% 99.27% 100.37% 104.06%
258 0.06% 12.48% 27.64% 54.13% 97.30% 100.54% 110.27%
259 0.72% 10.34% 26.19% 54.60% 97.77% 100.10% 108.32%
260 0.42% 8.13% 26.86% 53.46% 97.45% 99.86% 109.33%
261 0.16% 9.34% 28.83% 57.45% 99.54% 99.91% 104.68%
262 0.11% 9.55% 28.89% 57.95% 99.26% 100.40% 103.65%
263 0.68% 9.98% 27.73% 54.40% 99.02% 99.74% 106.71%
264 0.11% 12.09% 18.52% 76.39% 80.97% 100.36% 111.89%
265 0.13% 12.39% 22.54% 65.42% 95.01% 99.98% 103.15%
266 0.10% 14.86% 23.46% 58.91% 94.03% 99.61% 107.71%
267 0.11% 13.74% 26.16% 54.16% 99.60% 99.98% 105.44%
268 0.14% 12.81% 23.02% 59.23% 97.31% 100.91% 105.01%
269 0.11% 9.99% 28.29% 58.36% 99.35% 100.05% 104.62%
270 0.25% 9.30% 28.77% 57.41% 99.52% 99.35% 104.19%
271 0.13% 12.62% 26.95% 54.62% 99.44% 100.72% 105.44%
272 0.23% 13.66% 27.31% 53.87% 99.65% 99.26% 104.40%
273 0.16% 14.12% 27.13% 54.43% 99.74% 100.49% 104.33%
274 0.15% 13.23% 26.71% 54.39% 99.41% 99.79% 105.38%
275 0.12% 9.11% 27.10% 49.23% 98.29% 99.80% 113.35%
276 0.52% 8.49% 29.07% 57.52% 98.69% 99.12% 105.46%
277 0.09% 10.37% 29.34% 61.05% 92.87% 100.23% 105.09%
278 0.14% 10.91% 28.81% 56.22% 96.98% 100.35% 106.34%
279 0.16% 10.40% 36.57% 48.35% 92.12% 100.51% 113.01%
280 0.15% 10.85% 28.87% 58.68% 93.03% 99.14% 104.19%
281 0.17% 11.64% 26.55% 58.30% 97.12% 99.78% 105.77%
282 0.25% 10.88% 26.27% 67.22% 93.75% 99.61% 102.04%
283 0.20% 14.30% 27.75% 56.35% 99.69% 100.91% 101.57%
284 0.66% 14.02% 27.95% 56.30% 99.15% 99.51% 100.43%
285 0.20% 13.81% 27.56% 54.34% 99.76% 99.48% 103.99%
286 0.19% 11.11% 24.69% 68.35% 93.12% 100.68% 102.38%
287 0.18% 11.70% 25.13% 64.52% 93.65% 99.36% 102.68%
288 0.16% 14.09% 28.89% 57.09% 100.75% 100.63% 100.47%
289 0.26% 13.16% 26.33% 52.86% 99.66% 99.49% 106.24%
290 0.22% 14.09% 27.45% 55.82% 99.65% 100.20% 102.95%
291 0.24% 11.56% 27.88% 55.20% 98.20% 100.57% 106.09%
292 0.34% 13.92% 28.64% 56.37% 98.71% 99.34% 100.62%
293 0.14% 13.90% 26.37% 54.12% 100.35% 100.16% 105.57%
294 0.14% 11.54% 24.36% 60.12% 97.79% 99.39% 104.76%
295 0.12% 13.07% 26.67% 56.05% 100.13% 100.02% 103.70%
296 0.13% 14.08% 27.72% 54.87% 99.17% 100.38% 103.11%
297 0.21% 13.31% 31.43% 54.38% 100.29% 100.49% 101.82%
298 0.23% 13.58% 27.17% 54.65% 98.74% 98.99% 103.45%
299 0.11% 12.24% 24.97% 60.92% 97.25% 100.20% 104.12%
300 0.16% 14.27% 23.20% 60.28% 99.52% 99.77% 102.59%
301 0.19% 15.34% 21.14% 60.85% 97.80% 99.95% 105.65%
302 0.15% 12.72% 27.15% 54.40% 99.26% 100.02% 104.54%
303 0.64% 15.84% 19.06% 68.96% 87.16% 99.86% 106.94%
304 0.06% 13.94% 25.81% 57.13% 99.89% 100.26% 103.45%
305 0.06% 14.04% 28.02% 55.63% 98.76% 99.74% 100.83%
306 0.73% 13.72% 27.07% 54.04% 100.56% 100.96% 105.71%
307 0.06% 17.44% 35.05% 49.35% 94.88% 100.16% 102.88%
308 0.07% 13.37% 27.15% 55.69% 98.48% 98.99% 102.61%
309 0.07% 13.76% 28.02% 55.69% 99.84% 99.99% 102.35%
310 0.16% 13.94% 27.51% 55.32% 99.39% 100.02% 103.20%
311 0.19% 13.91% 27.58% 55.21% 99.65% 100.14% 102.42%
312 0.12% 14.27% 24.20% 57.43% 97.68% 100.97% 105.13%
313 0.15% 17.04% 20.07% 67.67% 90.96% 99.53% 102.83%
314 0.73% 13.72% 28.10% 55.55% 99.42% 99.36% 100.72%
315 0.05% 13.28% 26.99% 53.30% 99.90% 100.04% 106.52%
316 0.05% 13.41% 24.04% 58.57% 97.19% 99.55% 105.85%
317 0.09% 11.81% 23.97% 67.25% 91.67% 100.40% 104.94%
318 0.06% 9.24% 29.18% 58.37% 99.68% 99.57% 103.34%
319 0.08% 9.84% 27.56% 55.39% 96.08% 100.18% 110.36%
320 0.06% 6.15% 19.74% 76.80% 90.66% 99.81% 106.58%
321 0.09% 9.28% 25.12% 62.41% 95.98% 100.09% 106.74%
322 0.11% 16.63% 18.40% 66.97% 90.49% 100.43% 106.53%
323 0.06% 14.25% 25.85% 56.05% 99.81% 99.49% 103.43%
324 0.08% 13.68% 27.27% 54.89% 99.51% 100.36% 103.47%
325 0.09% 13.41% 27.79% 54.37% 99.86% 99.74% 104.86%
326 0.06% 13.27% 26.54% 53.45% 99.82% 99.82% 106.42%
327 0.07% 14.08% 28.00% 55.80% 99.84% 99.91% 101.62%
328 0.06% 14.04% 27.17% 54.41% 99.82% 100.17% 103.84%
329 0.15% 12.11% 25.04% 61.66% 95.63% 99.91% 105.71%
330 0.14% 12.93% 26.84% 54.89% 99.72% 100.14% 104.37%
